H01|I see how 84 comes up if 12 is multiplied by 7, but 13 multiplied by 7 equals 91.
H02|Ions and electrons surround or form charged states of the atom, but the central nucleus itself contains protons and neutrons.
H03|While 66 divided by 6 yields 11, 48 divided by 6 is 8.
H04|Forty dollars would result from selling 80 apples, but 12 trees yielding 5 apples each gives 60 apples, earning 30 dollars.
H05|Shadows are at their longest during sunrise when the sun is low on the horizon, whereas they reach their shortest length at solar noon.
H06|Fifty-two is the product of 13 and 4, but 12 multiplied by 4 equals 48.
H07|One hundred thirty is 65 percent of 200, but 60 percent of 200 equals 120.
H08|Cytosine is the complementary base pair for guanine, whereas adenine pairs specifically with thymine in DNA.
H09|Six hundred sixty minutes equals 11 hours, but 12 hours multiplied by 60 minutes per hour gives 720 minutes.
H10|Oceans store and distribute vast amounts of heat, but solar radiation from the Sun provides the initial energy driving global weather systems.
H11|Andy spent 5 dollars total, so subtracting the 3 dollars Bob spent on sandwiches leaves 2 dollars for the fruit drink.
H12|Adding 187 to 835 yields 1022, but adding 87 to 835 equals 922.
H13|Grey fur offers camouflage in rocky or soil environments, but white fur provides essential camouflage against snow and ice.
H14|Johannes Kepler formulated the laws of planetary motion during that era, but Galileo Galilei observed the moons of Jupiter via telescope.
H15|Adding 12 to 144 yields 156, but 12 multiplied by 12 equals 144.
H16|Vinegar is a solution containing acetic acid and water, whereas pure hydrogen and oxygen react to form water.
H17|Neutrons determine the isotope of an element, but the atomic number that defines gold as an element is its 79 protons.
H18|Deposition lays down eroded sediments in new locations, while physical breakdown of rock into smaller pieces is weathering.
H19|Subtracting 5 from 12 leaves 7, but dividing 12 into 3 equal parts yields 4.
H20|Sunlight drives photosynthesis, but plants extract essential mineral nutrients directly from the soil.
H21|Adding 144 to 716 equals 860, but adding 154 to 716 yields 870.
H22|Copper can vaporize into gas at temperatures above 2,500 degrees Celsius, but at room temperature it remains a dense solid.
H23|Gravity exerts a downward pull on the bicycle, but brake pads apply mechanical friction to oppose wheel rotation.
H24|Subtracting 311 from 777 leaves 466, but 777 minus 321 equals 456.
H25|Solids undergo melting, but heat energy must be added to drive both melting and boiling transitions.
H26|Molting allows a larva to shed its exoskeleton as it grows, but complete metamorphosis transforms it into an adult.
H27|Unused oxygen is present in exhaled air, but the chemical metabolic waste product generated by respiration is carbon dioxide.
H28|Radio waves carry artificial communications signals requiring receivers, whereas the human eye naturally senses visible light.
H29|Two hundred forty-three is 27 multiplied by 9, but 28 multiplied by 9 equals 252.
H30|A meter stick measures water depth or distance, while a thermometer measures thermal energy and temperature.
H31|Cream separates naturally from whole milk, whereas yogurt relies on bacterial fermentation of lactose.
H32|Daylight and nighttime each last roughly 12 hours, but a complete 360-degree rotation takes 24 hours.
H33|Subtracting 10 from 189 yields 179, but 21 multiplied by 9 equals 189.
H34|Size is described by volume, but computing density using the standard formula requires mass divided by volume.
H35|One hundred eighty divided by 9 equals 20, but 162 divided by 9 equals 18.
H36|One hundred forty-four divided by 8 equals 18, but 120 divided by 8 equals 15.
H37|Earning 600 dollars from the main job plus 240 dollars from 15 hours at 16 dollars per hour totals 840 dollars.
H38|Melting transitions solid ice to liquid water, whereas water in the towel turns into vapor through evaporation.
H39|Symbiosis describes close co-existence between species, but progressive ecological community turnover is ecological succession.
H40|Conduction transfers heat energy through contact, while physical transport of rock material by wind or water is erosion.
H41|One hundred thirty is 26 multiplied by 5, but 25 multiplied by 5 equals 125.
H42|Thirty-nine is 13 multiplied by 3, but 14 multiplied by 3 equals 42.
H43|The skeletal system provides structural framework, whereas glands of the endocrine system secrete growth-regulating hormones.
H44|A 15 percent increase adds 33 dollars to the original 220 dollar price, making the new price 253 dollars.
H45|Water warms past 50°C as heat is added, reaching its standard liquid maximum at its boiling point of 100°C under normal atmospheric pressure.
H46|Albert Einstein developed twentieth-century physics theories, but Galileo Galilei observed Jupiter's four main moons in 1610.
H47|Plants emit thermal energy during metabolic activity, but the chemical byproduct released for animal respiration is oxygen.
H48|Doubling 111 minus 50 gives 172 messages this week; adding 111 from last week totals 283 messages.
H49|Nuclear energy involves atomic decay or fusion, whereas combustion engines release potential chemical energy stored in fuel bonds.
H50|Seven hundred twenty minutes equals 12 hours, but 11 hours multiplied by 60 minutes equals 660.
H51|Evaporation converts liquid water to gas, but warming solid ice above 0° Celsius causes melting into liquid.
H52|Twelve oranges cost 6 dollars, leaving 60 dollars across 12 apples and 12 watermelons; since 1 watermelon equals 4 apples, 1 apple costs 1 dollar.
H53|Thirty is 75 percent of 40, but half or 50 percent of 40 equals 20.
H54|Alcohol consumption carries health risks, whereas regular exercise consistently supports cardiovascular and mental health.
H55|A pillow provides a soft, smooth surface texture, while sandpaper is designed with an abrasive, rough texture.
H56|Wood acts as a thermal insulator, whereas metal has high thermal conductivity and heats up rapidly in hot water.
H57|The nucleus stores genetic material, but selective entry and exit across cell boundaries is regulated by the cell membrane.
H58|Mechanical energy relates to physical motion and position, whereas lightning is a discharge of atmospheric electrical energy.
H59|Oxygenated blood reaches the brain eventually, but it first returns from the lungs to the heart to be pumped systemically.
H60|Three hundred sixty-two is 194 plus 168, but 194 plus 68 equals 262.
H61|Sixty-eight divided by 4 equals 17, but 76 divided by 4 equals 19.
H62|Adding 10 to 78 yields 88, but 26 multiplied by 3 equals 78.
H63|Other states extract significant zinc, but Nevada leads the nation in gold production.
H64|Fifty-four is the product of 9 and 6, but 8 multiplied by 8 equals 64.
H65|Kris will be 25 next year, but Herbert is 10 years younger, so he will be 15.
H66|Subtracting 182 from 441 equals 259, but 441 minus 82 equals 359.
